_id,CT,BPAD,BPAN,BPAN2,BWAD,BWAN,BWAN2,BMAD,BMAN,BMAN2,year
288,510000,1151.0,93.0,73.0,666.0,49.0,40.0,485.0,44.0,33.0,2016.0
289,51100,170.0,16.0,14.0,113.0,14.0,12.0,57.0,2.0,2.0,2016.0
290,512000,1172.0,154.0,110.0,653.0,73.0,53.0,519.0,81.0,57.0,2016.0
291,512800,760.0,77.0,56.0,444.0,45.0,33.0,316.0,32.0,23.0,2016.0
292,512900,647.0,71.0,46.0,367.0,44.0,25.0,280.0,27.0,21.0,2016.0
293,513800,1207.0,143.0,111.0,708.0,95.0,72.0,499.0,48.0,39.0,2016.0
294,514000,1239.0,116.0,85.0,763.0,73.0,54.0,476.0,43.0,31.0,2016.0
295,515100,1489.0,150.0,108.0,854.0,84.0,59.0,635.0,66.0,49.0,2016.0
296,515200,1049.0,112.0,83.0,612.0,63.0,46.0,437.0,49.0,37.0,2016.0
297,515300,988.0,111.0,79.0,611.0,81.0,57.0,377.0,30.0,22.0,2016.0
298,515401,1179.0,67.0,53.0,691.0,35.0,30.0,488.0,32.0,23.0,2016.0
299,516100,732.0,38.0,34.0,397.0,13.0,11.0,335.0,25.0,23.0,2016.0
300,516200,978.0,45.0,35.0,535.0,28.0,24.0,443.0,17.0,11.0,2016.0
301,517000,956.0,138.0,95.0,549.0,67.0,41.0,407.0,71.0,54.0,2016.0
302,518001,2054.0,189.0,127.0,1181.0,114.0,73.0,873.0,75.0,54.0,2016.0
303,519000,1810.0,169.0,113.0,963.0,71.0,45.0,847.0,98.0,68.0,2016.0
304,520001,1703.0,210.0,138.0,929.0,104.0,65.0,774.0,106.0,73.0,2016.0
305,520002,1739.0,194.0,131.0,959.0,104.0,72.0,780.0,90.0,59.0,2016.0
306,521100,2532.0,279.0,197.0,1367.0,131.0,95.0,1165.0,148.0,102.0,2016.0
307,521200,2202.0,213.0,150.0,1212.0,102.0,72.0,990.0,111.0,78.0,2016.0
308,521301,2156.0,260.0,185.0,1242.0,148.0,106.0,914.0,112.0,79.0,2016.0
309,521302,2249.0,204.0,145.0,1223.0,108.0,74.0,1026.0,96.0,71.0,2016.0
310,521401,1406.0,179.0,130.0,783.0,82.0,62.0,623.0,97.0,68.0,2016.0
311,521402,2278.0,195.0,141.0,1193.0,80.0,66.0,1085.0,115.0,75.0,2016.0
312,521500,2351.0,261.0,176.0,1263.0,123.0,78.0,1088.0,138.0,98.0,2016.0
313,522000,1897.0,171.0,126.0,1065.0,91.0,70.0,832.0,80.0,56.0,2016.0
314,523100,2251.0,307.0,191.0,1325.0,180.0,111.0,926.0,127.0,80.0,2016.0
315,523200,2259.0,246.0,158.0,1311.0,148.0,98.0,948.0,98.0,60.0,2016.0
316,523300,2164.0,222.0,159.0,1194.0,117.0,84.0,970.0,105.0,75.0,2016.0
317,523400,2829.0,336.0,209.0,1635.0,181.0,109.0,1194.0,155.0,100.0,2016.0
318,523501,2589.0,310.0,205.0,1417.0,149.0,95.0,1172.0,161.0,110.0,2016.0
319,523502,878.0,103.0,68.0,506.0,55.0,44.0,372.0,48.0,24.0,2016.0
320,523600,2687.0,347.0,243.0,1504.0,181.0,126.0,1183.0,166.0,117.0,2016.0
321,523701,2372.0,263.0,181.0,1305.0,129.0,86.0,1067.0,134.0,95.0,2016.0
322,523702,2965.0,355.0,242.0,1669.0,190.0,134.0,1296.0,165.0,108.0,2016.0
323,523800,2687.0,297.0,181.0,1475.0,136.0,85.0,1212.0,161.0,96.0,2016.0
324,524000,1383.0,132.0,93.0,737.0,65.0,49.0,646.0,67.0,44.0,2016.0
325,525100,1139.0,67.0,43.0,645.0,29.0,21.0,494.0,38.0,22.0,2016.0
326,525200,1187.0,128.0,81.0,682.0,71.0,48.0,505.0,57.0,33.0,2016.0
327,525300,1277.0,111.0,76.0,685.0,55.0,33.0,592.0,56.0,43.0,2016.0
328,526101,2292.0,192.0,132.0,1220.0,106.0,74.0,1072.0,86.0,58.0,2016.0
329,526102,1137.0,100.0,62.0,589.0,52.0,37.0,548.0,48.0,25.0,2016.0
330,526201,2294.0,239.0,157.0,1207.0,115.0,87.0,1087.0,124.0,70.0,2016.0
331,526202,2706.0,235.0,165.0,1438.0,108.0,73.0,1268.0,127.0,92.0,2016.0
332,526301,2349.0,266.0,185.0,1251.0,129.0,88.0,1098.0,137.0,97.0,2016.0
333,526302,2598.0,243.0,176.0,1364.0,113.0,83.0,1234.0,130.0,93.0,2016.0
334,550900,949.0,117.0,88.0,521.0,65.0,44.0,428.0,52.0,44.0,2016.0
335,551200,1868.0,207.0,156.0,1053.0,116.0,89.0,815.0,91.0,67.0,2016.0
336,551300,1401.0,168.0,134.0,770.0,91.0,70.0,631.0,77.0,64.0,2016.0
337,551900,765.0,113.0,82.0,425.0,72.0,53.0,340.0,41.0,29.0,2016.0
338,552000,1635.0,176.0,140.0,958.0,97.0,79.0,677.0,79.0,61.0,2016.0
339,552100,604.0,84.0,65.0,341.0,49.0,37.0,263.0,35.0,28.0,2016.0
340,552200,604.0,69.0,50.0,337.0,36.0,28.0,267.0,33.0,22.0,2016.0
341,552300,1404.0,149.0,112.0,775.0,81.0,60.0,629.0,68.0,52.0,2016.0
342,552400,1740.0,233.0,171.0,948.0,122.0,91.0,792.0,111.0,80.0,2016.0
343,560400,644.0,78.0,52.0,377.0,51.0,34.0,267.0,27.0,18.0,2016.0
344,560500,1022.0,53.0,37.0,574.0,28.0,23.0,448.0,25.0,14.0,2016.0
345,560600,623.0,76.0,52.0,363.0,49.0,38.0,260.0,27.0,14.0,2016.0
346,561000,729.0,64.0,54.0,411.0,28.0,22.0,318.0,36.0,32.0,2016.0
347,561100,517.0,42.0,26.0,294.0,21.0,14.0,223.0,21.0,12.0,2016.0
348,561200,688.0,76.0,55.0,392.0,38.0,31.0,296.0,38.0,24.0,2016.0
349,561400,2323.0,331.0,220.0,1414.0,201.0,130.0,909.0,130.0,90.0,2016.0
350,561500,1467.0,187.0,125.0,900.0,115.0,74.0,567.0,72.0,51.0,2016.0
351,561600,1244.0,103.0,72.0,714.0,60.0,40.0,530.0,43.0,32.0,2016.0
352,561700,396.0,34.0,28.0,213.0,20.0,18.0,183.0,14.0,10.0,2016.0
353,561900,1190.0,190.0,124.0,701.0,114.0,79.0,489.0,76.0,45.0,2016.0
354,562000,845.0,85.0,70.0,448.0,46.0,36.0,397.0,39.0,34.0,2016.0
355,562300,1866.0,231.0,174.0,1083.0,141.0,110.0,783.0,90.0,64.0,2016.0
356,562400,1481.0,140.0,102.0,848.0,85.0,63.0,633.0,55.0,39.0,2016.0
357,562500,1712.0,160.0,125.0,974.0,92.0,73.0,738.0,68.0,52.0,2016.0
358,562600,1474.0,134.0,106.0,785.0,65.0,49.0,689.0,69.0,57.0,2016.0
359,562700,760.0,57.0,47.0,432.0,33.0,29.0,328.0,24.0,18.0,2016.0
360,562800,732.0,103.0,68.0,393.0,57.0,39.0,339.0,46.0,29.0,2016.0
361,562900,1041.0,100.0,79.0,590.0,60.0,47.0,451.0,40.0,32.0,2016.0
362,563000,1428.0,152.0,116.0,821.0,79.0,64.0,607.0,73.0,52.0,2016.0
363,563100,1995.0,171.0,128.0,1061.0,91.0,71.0,934.0,80.0,57.0,2016.0
364,563200,1068.0,127.0,99.0,538.0,61.0,48.0,530.0,66.0,51.0,2016.0
365,563300,897.0,39.0,24.0,468.0,17.0,10.0,429.0,22.0,14.0,2016.0
366,563800,1908.0,145.0,100.0,1025.0,72.0,51.0,883.0,73.0,49.0,2016.0
367,563900,2143.0,224.0,155.0,1198.0,118.0,79.0,945.0,106.0,76.0,2016.0
368,564000,1819.0,150.0,92.0,987.0,89.0,53.0,832.0,61.0,39.0,2016.0
369,564100,528.0,30.0,20.0,267.0,9.0,6.0,261.0,21.0,14.0,2016.0
370,564200,1056.0,139.0,95.0,575.0,74.0,54.0,481.0,65.0,41.0,2016.0
371,564400,3160.0,379.0,265.0,1749.0,191.0,128.0,1411.0,188.0,137.0,2016.0
372,564500,940.0,106.0,65.0,518.0,62.0,37.0,422.0,44.0,28.0,2016.0
373,60300,1170.0,104.0,75.0,604.0,59.0,44.0,566.0,45.0,31.0,2016.0
374,60500,737.0,55.0,39.0,389.0,22.0,20.0,348.0,33.0,19.0,2016.0
375,70300,832.0,35.0,19.0,422.0,19.0,8.0,410.0,16.0,11.0,2016.0
376,70500,942.0,32.0,20.0,479.0,12.0,7.0,463.0,20.0,13.0,2016.0
377,70600,861.0,41.0,26.0,490.0,25.0,15.0,371.0,16.0,11.0,2016.0
378,70800,707.0,28.0,14.0,380.0,13.0,5.0,327.0,15.0,9.0,2016.0
379,70900,1438.0,66.0,43.0,771.0,25.0,20.0,667.0,41.0,23.0,2016.0
380,80200,816.0,78.0,58.0,450.0,49.0,39.0,366.0,29.0,19.0,2016.0
381,80400,569.0,36.0,22.0,291.0,20.0,9.0,278.0,16.0,13.0,2016.0
382,80600,893.0,38.0,26.0,458.0,22.0,15.0,435.0,16.0,11.0,2016.0
383,80700,603.0,28.0,14.0,325.0,12.0,4.0,278.0,16.0,10.0,2016.0
384,80900,818.0,76.0,63.0,448.0,43.0,37.0,370.0,33.0,26.0,2016.0
385,90100,917.0,79.0,58.0,480.0,45.0,31.0,437.0,34.0,27.0,2016.0
386,90200,1256.0,121.0,89.0,715.0,58.0,45.0,541.0,63.0,44.0,2016.0
387,90300,778.0,84.0,67.0,426.0,41.0,35.0,352.0,43.0,32.0,2016.0
389,980100,8.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,2016.0
390,980700,10.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,2016.0
